[n: 10, f: 1, c: 9] p 13 | f 3
[n: 14, f: 9, c: 11] p 605 | f 9
[n: 10, f: 2, c: 9] p 26 | f 3
[n: 18, f: 2, c: 7] p 321 | f 8
[n: 10, f: 3, c: 9] p 39 | f 3
[n: 10, f: 4, c: 9] p 53 | f 3
[n: 10, f: 5, c: 9] p 66 | f 3
[n: 10, f: 6, c: 9] p 78 | f 3
[n: 10, f: 7, c: 9] p 91 | f 2
[n: 10, f: 8, c: 9] p 104 | f 3
[n: 18, f: 3, c: 7] p 431 | f 9
[n: 11, f: 0, c: 10] p 0 | f 2
[n: 11, f: 1, c: 10] p 19 | f 4
[n: 11, f: 2, c: 10] p 40 | f 5
[n: 17, f: 3, c: 10] p 600 | f 14
[n: 11, f: 3, c: 10] p 60 | f 5
[n: 14, f: 10, c: 11] p 648 | f 9
[n: 14, f: 0, c: 12] p 42 | f 4
[n: 11, f: 4, c: 10] p 80 | f 5
[n: 20, f: 5, c: 18] p 2434 | f 56
[n: 11, f: 5, c: 10] p 99 | f 5
[n: 14, f: 1, c: 12] p 122 | f 8
[n: 25, f: 4, c: 6] p 1194 | f 15
[n: 11, f: 6, c: 10] p 120 | f 5
[n: 18, f: 4, c: 7] p 508 | f 10
[n: 22, f: 6, c: 9] p 2254 | f 26
[n: 14, f: 2, c: 12] p 197 | f 11
[n: 11, f: 7, c: 10] p 141 | f 4
[n: 11, f: 8, c: 10] p 159 | f 4
[n: 17, f: 4, c: 10] p 682 | f 13
[n: 14, f: 3, c: 12] p 264 | f 12
[n: 11, f: 9, c: 10] p 180 | f 4
[n: 11, f: 0, c: 10] p 0 | f 2
[n: 11, f: 1, c: 10] p 19 | f 4
[n: 11, f: 2, c: 10] p 40 | f 5
[n: 18, f: 5, c: 7] p 553 | f 10
[n: 11, f: 3, c: 10] p 62 | f 5
[n: 11, f: 4, c: 10] p 82 | f 5
[n: 14, f: 4, c: 12] p 327 | f 13
[n: 11, f: 5, c: 10] p 102 | f 5
[n: 11, f: 6, c: 10] p 120 | f 5
[n: 17, f: 5, c: 10] p 774 | f 13
[n: 11, f: 7, c: 10] p 143 | f 4
[n: 14, f: 5, c: 12] p 386 | f 13
[n: 18, f: 6, c: 7] p 582 | f 11
[n: 18, f: 0, c: 7] p 84 | f 4
[n: 11, f: 8, c: 10] p 164 | f 4
[n: 25, f: 5, c: 6] p 1326 | f 16
[n: 18, f: 1, c: 7] p 182 | f 7
[n: 11, f: 9, c: 10] p 181 | f 6
[n: 11, f: 0, c: 10] p 0 | f 2
[n: 11, f: 1, c: 10] p 21 | f 4
[n: 11, f: 2, c: 10] p 41 | f 5
[n: 14, f: 6, c: 12] p 443 | f 12
[n: 11, f: 3, c: 10] p 62 | f 5
[n: 25, f: 0, c: 8] p 342 | f 10
